log_id,timestamp,player_id,player_name,monster_id,monster_name,damage_dealt,damage_taken,result,level,zone_id
1,2026-03-01 09:01:23,1001,DragonSlayer,501,Goblin,320,45,WIN,25,Z01
2,2026-03-01 09:02:11,1002,IceWizard,502,Orc,185,120,WIN,22,Z01
3,2026-03-01 09:03:45,1003,ShadowRogue,503,Troll,410,200,WIN,28,Z02
4,2026-03-01 09:05:02,1001,DragonSlayer,504,BossWolf,250,380,LOSE,25,Z02
5,2026-03-01 09:06:30,1004,HolyPaladin,501,Goblin,95,10,WIN,15,Z01
6,2026-03-01 09:07:55,1002,IceWizard,505,DarkElf,220,95,WIN,22,Z03
7,2026-03-01 09:09:10,1005,BerserkerKing,504,BossWolf,580,310,WIN,35,Z02
8,2026-03-01 09:10:44,1003,ShadowRogue,506,Vampire,330,180,LOSE,28,Z03
9,2026-03-01 09:12:01,1001,DragonSlayer,501,Goblin,290,30,WIN,25,Z01
10,2026-03-01 09:13:22,1004,HolyPaladin,502,Orc,110,85,WIN,15,Z01
11,2026-03-01 09:15:40,1005,BerserkerKing,503,Troll,620,150,WIN,35,Z02
12,2026-03-01 09:17:05,1002,IceWizard,507,SkeletonLord,195,140,WIN,22,Z03
13,2026-03-01 09:18:33,1006,ArrowMaster,501,Goblin,275,20,WIN,20,Z01
14,2026-03-01 09:20:11,1001,DragonSlayer,508,StoneGolem,380,260,WIN,25,Z02
15,2026-03-01 09:21:55,1006,ArrowMaster,504,BossWolf,310,290,LOSE,20,Z02
16,2026-03-01 09:23:42,1003,ShadowRogue,501,Goblin,420,15,WIN,28,Z01
17,2026-03-01 09:25:18,1004,HolyPaladin,503,Troll,130,110,WIN,15,Z02
18,2026-03-01 09:27:00,1005,BerserkerKing,506,Vampire,550,200,WIN,35,Z03
19,2026-03-01 09:28:44,1002,IceWizard,504,BossWolf,240,350,LOSE,22,Z02
20,2026-03-01 09:30:22,1006,ArrowMaster,505,DarkElf,290,80,WIN,20,Z03
21,2026-03-01 09:32:05,1001,DragonSlayer,506,Vampire,340,220,WIN,25,Z03
22,2026-03-01 09:33:50,1003,ShadowRogue,508,StoneGolem,470,300,WIN,28,Z02
23,2026-03-01 09:35:15,1004,HolyPaladin,507,SkeletonLord,120,160,LOSE,15,Z03
24,2026-03-01 09:37:00,1005,BerserkerKing,508,StoneGolem,600,180,WIN,35,Z02
25,2026-03-01 09:38:45,1006,ArrowMaster,502,Orc,260,75,WIN,20,Z01
